title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
thelma  louise,1991,9706.0,4438.0,4.0,6.0,0.6862273755656109,0.31377262443438914,0.4,0.6,739.6666666666666,2426.5,f,False,True,False,False,0,2,0,0,Acting
there will be blood,2007,0.0,8052.0,0.0,10.0,0.0,1.0,0.0,1.0,805.2,0.0,m,True,False,True,False,1,0,1,0,Acting
tinker tailor soldier spy,2011,565.0,8829.0,1.0,14.0,0.06014477325952736,0.9398552267404726,0.06666666666666667,0.9333333333333333,630.6428571428571,565.0,m,True,False,False,False,1,0,0,0,Acting
titanic,1997,4683.0,7825.0,6.0,14.0,0.37440038375439716,0.6255996162456028,0.3,0.7,558.9285714285714,780.5,f,False,True,False,False,0,2,0,0,Acting
tootsie,1982,1604.0,1252.0,4.0,4.0,0.561624649859944,0.438375350140056,0.5,0.5,313.0,401.0,f,True,True,False,True,1,2,0,1,Acting
traffic,2000,3192.0,6703.0,5.0,15.0,0.32258716523496717,0.6774128347650329,0.25,0.75,446.8666666666667,638.4,f,True,False,True,False,1,0,1,0,Acting
training day,2001,104.0,9044.0,1.0,8.0,0.011368605159597726,0.9886313948404023,0.1111111111111111,0.8888888888888888,1130.5,104.0,m,True,False,True,False,2,0,1,0,Acting
tropic thunder,2008,295.0,10296.0,1.0,11.0,0.027853838164479276,0.9721461618355207,0.08333333333333333,0.9166666666666666,936.0,295.0,m,True,False,False,False,1,0,0,0,Acting
true grit,2010,3200.0,4602.0,1.0,12.0,0.41015124327095615,0.5898487567290438,0.07692307692307693,0.9230769230769231,383.5,3200.0,f,True,True,False,False,1,1,0,0,Acting
trumbo,2015,1999.0,7165.0,3.0,13.0,0.21813618507202095,0.7818638149279791,0.1875,0.8125,551.1538461538462,666.3333333333334,f,True,False,False,False,1,0,0,0,Acting
unforgiven,1992,725.0,7997.0,3.0,11.0,0.08312313689520752,0.9168768631047924,0.21428571428571427,0.7857142857142857,727.0,241.66666666666666,m,True,False,True,False,2,0,1,0,Acting
up in the air,2009,4787.0,7195.0,5.0,4.0,0.399515940577533,0.6004840594224671,0.5555555555555556,0.4444444444444444,1798.75,957.4,m,True,True,False,False,1,2,0,0,Acting
vicky cristina barcelona,2008,6533.0,7090.0,4.0,4.0,0.47955663216618954,0.5204433678338105,0.5,0.5,1772.5,1633.25,m,False,True,False,True,0,1,0,1,Acting
wag the dog,1997,4854.0,18030.0,9.0,17.0,0.21211326691137913,0.7878867330886209,0.34615384615384615,0.6538461538461539,1060.5882352941176,539.3333333333334,m,True,False,False,False,1,0,0,0,Acting
wall street,1987,3290.0,26440.0,5.0,14.0,0.11066263033972419,0.8893373696602758,0.2631578947368421,0.7368421052631579,1888.5714285714287,658.0,m,True,False,True,False,1,0,1,0,Acting
warrior,2011,677.0,9875.0,2.0,12.0,0.064158453373768,0.935841546626232,0.14285714285714285,0.8571428571428571,822.9166666666666,338.5,m,True,False,False,False,1,0,0,0,Acting
whiplash,2014,497.0,8395.0,2.0,7.0,0.05589293747188484,0.9441070625281152,0.2222222222222222,0.7777777777777778,1199.2857142857142,248.5,m,True,False,True,False,1,0,1,0,Acting
wild,2014,7105.0,2736.0,8.0,10.0,0.7219794736307286,0.27802052636927144,0.4444444444444444,0.5555555555555556,273.6,888.125,f,False,True,False,False,0,2,0,0,Acting
wild at heart,1990,14014.0,16946.0,6.0,12.0,0.4526485788113695,0.5473514211886304,0.3333333333333333,0.6666666666666666,1412.1666666666667,2335.6666666666665,f,False,True,False,False,0,1,0,0,Acting
winters bone,2010,3347.0,2240.0,7.0,6.0,0.5990692679434402,0.4009307320565599,0.5384615384615384,0.46153846153846156,373.3333333333333,478.14285714285717,f,True,True,False,False,1,1,0,0,Acting
witness,1985,1849.0,3993.0,2.0,7.0,0.3165011982197877,0.6834988017802123,0.2222222222222222,0.7777777777777778,570.4285714285714,924.5,f,True,False,False,False,1,0,0,0,Acting
witness for the prosecution,1957,2797.0,10052.0,3.0,8.0,0.2176823099073858,0.7823176900926142,0.2727272727272727,0.7272727272727273,1256.5,932.3333333333334,m,True,True,False,False,1,1,0,0,Acting
working girl,1988,6495.0,2939.0,6.0,4.0,0.6884672461310155,0.31153275386898455,0.6,0.4,734.75,1082.5,f,False,True,False,False,0,3,0,0,Acting
you can count on me,2000,8564.0,14022.0,3.0,6.0,0.3791729389887541,0.6208270610112459,0.3333333333333333,0.6666666666666666,2337.0,2854.6666666666665,f,False,True,False,False,0,1,0,0,Acting
zero dark thirty,2012,5064.0,8152.0,3.0,18.0,0.3831719128329298,0.6168280871670703,0.14285714285714285,0.8571428571428571,452.8888888888889,1688.0,f,False,True,False,False,0,1,0,0,Acting
