title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
do the right thing,1989,1070.0,4850.0,3.0,10.0,0.18074324324324326,0.8192567567567568,0.23076923076923078,0.7692307692307693,485.0,356.6666666666667,m,True,False,False,False,1,0,0,0,Acting
dog day afternoon,1975,1292.0,8396.0,3.0,6.0,0.1333608587943848,0.8666391412056152,0.3333333333333333,0.6666666666666666,1399.3333333333333,430.6666666666667,m,True,False,False,False,2,0,0,0,Acting
double indemnity,1944,3563.0,9783.0,2.0,6.0,0.2669713771916679,0.733028622808332,0.25,0.75,1630.5,1781.5,f,False,True,False,False,0,1,0,0,Acting
doubt,2008,5119.0,2812.0,3.0,1.0,0.6454419367040726,0.3545580632959274,0.75,0.25,2812.0,1706.3333333333333,m,True,True,False,False,1,3,0,0,Acting
eastern promises,2007,1812.0,4033.0,3.0,5.0,0.3100085543199316,0.6899914456800684,0.375,0.625,806.6,604.0,m,True,False,False,False,1,0,0,0,Acting
ed wood,1994,1926.0,12591.0,4.0,11.0,0.13267203967761934,0.8673279603223807,0.26666666666666666,0.7333333333333333,1144.6363636363637,481.5,m,True,False,True,False,1,0,1,0,Acting
elizabeth,1998,3524.0,4597.0,3.0,11.0,0.4339367073020564,0.5660632926979436,0.21428571428571427,0.7857142857142857,417.90909090909093,1174.6666666666667,f,False,True,False,False,0,1,0,0,Acting
elizabeth the golden age,2007,3848.0,3468.0,4.0,9.0,0.5259704756697648,0.4740295243302351,0.3076923076923077,0.6923076923076923,385.3333333333333,962.0,f,False,True,False,False,0,1,0,0,Acting
erin brockovich,2000,9126.0,5659.0,7.0,7.0,0.6172472100101454,0.38275278998985457,0.5,0.5,808.4285714285714,1303.7142857142858,f,True,True,False,True,1,1,0,1,Acting
eternal sunshine of the spotless mind,2004,12312.0,10952.0,8.0,6.0,0.5292297111416782,0.4707702888583219,0.5714285714285714,0.42857142857142855,1825.3333333333333,1539.0,m,False,True,False,False,0,1,0,0,Acting
far from heaven,2002,6403.0,3434.0,5.0,5.0,0.6509098302327946,0.34909016976720547,0.5,0.5,686.8,1280.6,f,False,True,False,False,0,1,0,0,Acting
fargo,1996,4486.0,11894.0,3.0,13.0,0.2738705738705739,0.7261294261294261,0.1875,0.8125,914.9230769230769,1495.3333333333333,f,True,True,False,True,1,1,0,1,Acting
five easy pieces,1970,3968.0,3042.0,6.0,3.0,0.5660485021398003,0.4339514978601997,0.6666666666666666,0.3333333333333333,1014.0,661.3333333333334,m,True,True,False,False,1,1,0,0,Acting
flight,2012,2935.0,10519.0,4.0,11.0,0.21815073584064218,0.7818492641593578,0.26666666666666666,0.7333333333333333,956.2727272727273,733.75,m,True,False,False,False,1,0,0,0,Acting
forrest gump,1994,1549.0,7541.0,3.0,6.0,0.1704070407040704,0.8295929592959296,0.3333333333333333,0.6666666666666666,1256.8333333333333,516.3333333333334,m,True,False,True,False,2,0,1,0,Acting
foxcatcher,2014,0.0,8057.0,0.0,6.0,0.0,1.0,0.0,1.0,1342.8333333333333,0.0,m,True,False,False,False,2,0,0,0,Acting
