title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,total_nominations,total_wins,nominated,df_type
alice in wonderland,2010,3515.0,1883.0,5.0,5.0,0.6511670989255279,0.348832901074472,0.5,0.5,376.6,703.0,f,3,2,True,Other
alien,1979,2830.0,5672.0,3.0,5.0,0.3328628557986356,0.6671371442013644,0.375,0.625,1134.4,943.3333333333334,m,2,1,True,Other
alien,1992,1846.0,6838.0,1.0,13.0,0.2125748502994012,0.7874251497005988,0.07142857142857142,0.9285714285714286,526.0,1846.0,f,0,0,False,Other
alien nation,1988,349.0,5888.0,2.0,10.0,0.05595638928972262,0.9440436107102774,0.16666666666666666,0.8333333333333334,588.8,174.5,m,0,0,False,Other
alien resurrection,1997,1504.0,2886.0,2.0,7.0,0.3425968109339408,0.6574031890660592,0.2222222222222222,0.7777777777777778,412.2857142857143,752.0,f,0,0,False,Other
aliens,1986,6476.0,7194.0,6.0,10.0,0.4737381126554499,0.5262618873445501,0.375,0.625,719.4,1079.3333333333333,f,6,2,True,Other
aliens vs predator requiem,2007,1467.0,3516.0,5.0,10.0,0.2944009632751355,0.7055990367248646,0.3333333333333333,0.6666666666666666,351.6,293.4,m,0,0,False,Other
all about steve,2009,8644.0,6901.0,5.0,9.0,0.5560630427790286,0.4439369572209714,0.35714285714285715,0.6428571428571429,766.7777777777778,1728.8,f,0,0,False,Other
all gods children can dance,2008,2099.0,2360.0,2.0,2.0,0.4707333482843687,0.5292666517156313,0.5,0.5,1180.0,1049.5,m,0,0,False,Other
all the boys love mandy lane,2006,2141.0,2129.0,2.0,5.0,0.5014051522248244,0.49859484777517565,0.2857142857142857,0.7142857142857143,425.8,1070.5,f,0,0,False,Other
all the presidents men,1976,603.0,7890.0,2.0,10.0,0.07099964676792653,0.9290003532320734,0.16666666666666666,0.8333333333333334,789.0,301.5,m,6,3,True,Other
all the pretty horses,2000,1559.0,11394.0,3.0,10.0,0.12035821817339612,0.8796417818266039,0.23076923076923078,0.7692307692307693,1139.4,519.6666666666666,m,0,0,False,Other
almost famous,2000,6766.0,16484.0,8.0,12.0,0.29101075268817206,0.708989247311828,0.4,0.6,1373.6666666666667,845.75,m,2,1,True,Other
alone in the dark,2005,1800.0,5296.0,4.0,7.0,0.25366403607666294,0.7463359639233371,0.36363636363636365,0.6363636363636364,756.5714285714286,450.0,m,0,0,False,Other
amadeus,1984,2266.0,10022.0,5.0,14.0,0.18440755208333334,0.8155924479166666,0.2631578947368421,0.7368421052631579,715.8571428571429,453.2,m,9,7,True,Other
amelia,2009,17014.0,13622.0,3.0,8.0,0.5553597075336206,0.4446402924663794,0.2727272727272727,0.7272727272727273,1702.75,5671.333333333333,f,0,0,False,Other
american beauty,1999,6842.0,9882.0,3.0,6.0,0.40911265247548434,0.5908873475245157,0.3333333333333333,0.6666666666666666,1647.0,2280.6666666666665,f,6,4,True,Other
american gangster,2007,939.0,8100.0,5.0,17.0,0.10388317291735812,0.8961168270826418,0.22727272727272727,0.7727272727272727,476.47058823529414,187.8,m,1,0,True,Other
american gigolo,1980,1898.0,5393.0,4.0,5.0,0.26032094362913183,0.7396790563708682,0.4444444444444444,0.5555555555555556,1078.6,474.5,m,0,0,False,Other
american graffiti,1973,2619.0,7255.0,6.0,10.0,0.2652420498278307,0.7347579501721694,0.375,0.625,725.5,436.5,m,4,0,True,Other
american hustle,2013,5507.0,16441.0,5.0,9.0,0.25091124476034266,0.7490887552396573,0.35714285714285715,0.6428571428571429,1826.7777777777778,1101.4,m,6,0,True,Other
