character,words,gender,age,title,year,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
nancy,396,f,29.0,breaking away,1979,m,False,True,False,False,0,1,0,0,Acting
rod,437,m,23.0,breaking away,1979,m,False,True,False,False,0,1,0,0,Acting
air marshall jo,113,m,38.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
annie,4015,f,38.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
becca,299,f,31.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
brynn,208,f,31.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
don cholodecki,125,m,53.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
gil,169,m,37.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
helen,1310,f,32.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
lillian,1631,f,39.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
megan,1038,f,41.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
rhodes,1313,m,32.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
rita,395,f,42.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
ted,294,m,40.0,bridesmaids,2011,f,False,True,False,False,0,1,0,0,Acting
aaron altman,7316,m,40.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
bill rorish,296,m,50.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
blair litton,836,f,25.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
date-rape woman,106,f,25.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
ernie merriman,1534,m,57.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
gerald grunick,204,m,45.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
jane craig,7842,f,29.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
jennifer mack,772,f,40.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
paul moore,822,m,63.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
tom grunick,7858,m,37.0,broadcast news,1987,f,True,True,False,False,2,1,0,0,Acting
alvin dewey,907,m,54.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
dick hickock,545,m,40.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
dorothy sanders,318,f,79.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
jack dunphy,1285,m,49.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
marie dewey,404,f,37.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
nelle harper le,2117,f,46.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
perry smith,3824,m,35.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
truman capote,10334,m,38.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
warden marshall,405,m,63.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
william shawn,990,m,60.0,capote,2005,m,True,True,True,False,1,1,1,0,Acting
artie piscano,1328,m,47.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
billy sherbert,796,m,69.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
charlie clark,376,m,47.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
dominick santor,132,m,47.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
don ward,306,m,42.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
frank marino,1362,m,56.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
frankie avalon ,106,m,56.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
ginger mckenna,7660,f,37.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
jennifer santor,406,f,39.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
la banker,114,m,61.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
lester diamond,1622,m,48.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
nicky santoro,19576,m,52.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
pat webb,760,m,68.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
phillip green,588,m,38.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
piscano's mothe,294,f,83.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
remo gaggi,1220,m,74.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
sam 'ace' roths,26798,m,52.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
security guard,116,m,55.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
senator,348,m,56.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
vincent borelli,470,m,62.0,casino,1995,m,False,True,False,False,0,1,0,0,Acting
Assistant Direc,101,m,50.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
brenda strong,725,f,28.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
Carl Hanratty,2098,m,46.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
Frank Abagnale,1236,m,59.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
frank abagnale ,4840,m,28.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
lucy,156,f,28.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
paula abagnale,670,f,54.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
tom fox,166,m,35.0,catch me if you can,2002,m,True,False,False,False,1,0,0,0,Acting
curly,239,m,34.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
escobar,910,m,45.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
evelyn mulwray,1879,f,33.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
ida sessions,113,f,39.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
j.j. gittes,6510,m,37.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
mayor bagby,184,m,68.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
noah cross,1096,m,68.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
walsh,270,m,59.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
yelburton,357,m,42.0,chinatown,1974,m,True,True,False,False,1,1,0,0,Acting
ada monroe,4572,f,36.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
blind man,266,m,75.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
bosie,146,m,23.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
doctor,166,m,55.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
esco swanger,630,m,63.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
ferry girl,374,f,19.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
inman,3878,m,31.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
junior,548,m,29.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
lila,116,f,43.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
maddy,798,f,69.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
mrs. castlereag,206,f,45.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
mrs. morgan,236,f,27.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
oakley,224,m,21.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
pangle,444,m,27.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
reverend veasey,1608,m,36.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
rourke,118,m,26.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
ruby thewes,4454,f,34.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
sally swanger,712,f,53.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
sara,806,f,22.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
stobrod thewes,1444,m,48.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
teague,1684,m,46.0,cold mountain,2003,f,True,True,False,True,1,1,0,1,Acting
annie,1140,f,33.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
daniel,960,m,50.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
fanning,1004,m,37.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
felix,314,m,35.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
ida,374,f,69.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
nightclub staff,104,m,39.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
pedrosa,448,m,54.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
richard weidner,326,m,40.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
traffic cop #1,336,m,32.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
vincent,5318,m,42.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
young professio,108,m,35.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
young professio,102,f,40.0,collateral,2004,m,True,False,False,False,1,0,0,0,Acting
bernie lootz,4576,m,53.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
buddy stafford,544,m,64.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
charlene,388,f,25.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
larry sokolov,1186,m,36.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
mikey,796,m,28.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
natalie belisar,3274,f,36.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
nicky fingers b,1040,m,59.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
shelly kaplow,4760,m,45.0,the cooler,2003,f,True,False,False,False,1,0,0,0,Acting
col,470,m,43.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
dave,250,m,35.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
deveroux,256,m,33.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
dil,4090,m,24.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
fergus,4378,m,46.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
jody,3220,m,31.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
jude,1520,f,34.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
maguire,962,m,34.0,the crying game,1992,m,True,False,False,False,2,0,0,0,Acting
black shawl,238,f,40.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
christine,110,f,6.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
kicking bird,1880,m,38.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
lieutenant dunb,3522,m,35.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
lieutenant elgi,352,m,41.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
major fambrough,532,m,41.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
otter,140,m,13.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
sergeant pepper,518,m,42.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
smiles a lot,344,m,14.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
stands with a f,1150,f,38.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
stone calf,280,m,50.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
ten bears,1720,m,54.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
timmons,370,m,36.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
Wind In His Hai,1616,m,31.0,dances with wolves,1990,m,True,True,False,False,2,1,0,0,Acting
alfred,1888,m,75.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
bank manager,210,m,52.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
barbara gordon,198,f,45.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
bruce wayne,2470,m,34.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
chechen,788,m,41.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
gambol,304,m,41.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
gordon,4406,m,50.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
harvey dent,5372,m,40.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
"james gordon, j",172,m,10.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
joker,5980,m,29.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
lau,914,m,39.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
loeb,164,m,47.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
lsi vp,120,m,28.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
lucius fox,1964,m,71.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
maroni,578,m,52.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
maroni's mistre,116,f,27.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
mayor,318,m,41.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
mike engel,806,m,40.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
natascha,150,f,31.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
rachel,2108,f,31.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
ramirez,674,f,38.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
reese,492,m,29.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
scarecrow,196,m,32.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
stephens,410,m,56.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
swat sniper,186,m,31.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
tattooed prison,144,m,50.0,the dark knight,2008,m,True,False,True,False,1,0,1,0,Acting
charlie dalton,2784,m,29.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
chemistry teach,138,m,43.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
chris noel,800,f,22.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
dr. hager,188,m,60.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
gerard pitts,702,m,20.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
gloria,116,f,29.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
john keating,6572,m,38.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
knox overstreet,1850,m,18.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
mcallister,308,m,46.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
mr. nolan,1782,m,75.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
mr. perry,886,m,46.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
neil perry,4440,m,20.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
steven meeks,854,m,18.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
todd anderson,1604,m,19.0,dead poets society,1989,m,True,False,False,False,1,0,0,0,Acting
billy,5824,m,32.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
colin sullivan,6284,m,36.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
delahunt,594,m,50.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
dignam,1218,m,35.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
ellerby,1788,m,48.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
fitzy,474,m,41.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
frank costello,4584,m,69.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
madolyn,2030,f,33.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
older priest,168,m,74.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
queenan,1804,m,66.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
sean,492,m,42.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
trooper barriga,246,m,28.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
trooper brown,394,m,36.0,the departed,2006,f,True,False,False,False,1,0,0,0,Acting
alexandra king,2050,f,20.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
brian speer,347,m,41.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
cousin hugh,229,m,70.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
cousin ralph,143,m,38.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
dr. johnston,427,m,75.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
julie speer,649,f,36.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
kai mitchell,348,f,43.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
mark mitchell,194,m,42.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
matt king,7668,m,50.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
sid,1026,m,19.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
troy cook,257,m,47.0,the descendants,2011,m,True,False,False,False,1,0,0,0,Acting
ben du toit,3898,m,54.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
bruwer,332,m,65.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
captain stolz,950,m,48.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
cloete,308,m,53.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
colonel viljoen,422,m,46.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
gordon ngubene,800,m,48.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
julius,118,m,47.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
louw,162,m,49.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
magistrate,362,m,49.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
melanie bruwer,904,f,43.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
stanley makhaya,1504,m,55.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
susan du toit,424,f,50.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
suzette du toit,192,f,24.0,a dry white season,1989,m,True,False,False,False,1,0,0,0,Acting
anna,1127,f,39.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
doctor aziz,109,m,32.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
helen,317,f,59.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
kirill,1026,m,41.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
nikolai,1528,m,49.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
semyon,1100,m,77.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
tatiana,368,f,22.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
yuri,270,m,64.0,eastern promises,2007,m,True,False,False,False,1,0,0,0,Acting
count laszlo de,4518,m,34.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
d'agostino,174,m,60.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
david caravaggi,2146,m,41.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
fenelon-barnes,820,m,51.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
hana,3412,f,32.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
jan,144,f,25.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
katharine clift,1028,f,36.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
kip,1576,m,27.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
madox,1472,m,38.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
oliver,232,m,43.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
sgt. hardy,262,m,45.0,the english patient,1996,f,True,True,False,True,1,2,0,1,Acting
carrie,418,f,39.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
clementine kruc,8354,f,29.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
dr. mierzwiak,1708,m,56.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
joel barish,6482,m,42.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
mary,2316,f,22.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
patrick,1070,m,23.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
stan,1428,m,37.0,eternal sunshine of the spotless mind,2004,m,False,True,False,False,0,1,0,0,Acting
charlie,162,m,49.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
earl,143,m,46.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
frank baker,6705,m,48.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
jack baker,3383,m,40.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
lloyd,180,m,34.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
monica moran,191,f,31.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
nina,342,f,12.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
susie diamond,2274,f,31.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
vince nancy,138,m,41.0,the fabulous baker boys,1989,m,False,True,False,False,0,1,0,0,Acting
carl showalter,2616,m,39.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
gaear grimsrud,194,m,43.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
jean lundegaard,164,f,41.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
jerry lundegaar,4070,m,46.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
marge gunderson,4200,f,39.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
norm gunderson,350,m,33.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
shep proudfoot,144,m,34.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
stan grossman,444,m,48.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
wade gustafson,1304,m,63.0,fargo,1996,f,True,True,False,True,1,1,0,1,Acting
alice ward,2099,f,50.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
charlene flemin,1645,f,36.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
dicky eklund,5566,m,36.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
george ward,259,m,61.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
lou gold,148,m,52.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
micky ward,3417,m,39.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
mike toma,156,m,63.0,the fighter,2010,f,True,True,True,True,1,2,1,1,Acting
charlie anderso,1343,m,56.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
ellen block,1150,f,52.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
fran,268,m,45.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
gaunt young man,482,m,34.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
harling mays,892,m,60.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
hugh lang,1150,m,48.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
ken evans,789,m,37.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
kip,235,m,43.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
margaret thomas,444,f,53.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
nicole,1235,f,35.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
ntsb officer at,116,m,52.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
piers morgan,135,m,47.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
whip whitaker,4993,m,58.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
will,116,m,18.0,flight,2012,m,True,False,False,False,1,0,0,0,Acting
David Schultz,1991,m,47.0,foxcatcher,2014,m,True,False,False,False,2,0,0,0,Acting
john du pont,2328,m,52.0,foxcatcher,2014,m,True,False,False,False,2,0,0,0,Acting
mark schultz,2653,m,34.0,foxcatcher,2014,m,True,False,False,False,2,0,0,0,Acting
alma styles,374,f,64.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
bob barnes,422,m,47.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
clifford odets,438,m,35.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
dick steele,642,m,38.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
dr. symington,1018,m,46.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
drama teacher,266,f,46.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
ernest farmer,1326,m,64.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
frances farmer,12254,f,33.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
harold clurman,102,m,45.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
harry york,3394,m,39.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
hitchhiker,102,m,35.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
judge hillier,706,m,59.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
lillian farmer,3084,f,57.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
mr. bebe,678,m,56.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
ralph edwards,442,m,41.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
"reports, public",278,m,53.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
seattle reporte,324,m,27.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
sentencing judg,404,m,59.0,frances,1982,f,False,True,False,False,0,2,0,0,Acting
alain charnier,1204,m,54.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
auctioneer,240,m,57.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
buddy russo,2292,m,39.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
devereaux,542,m,40.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
jimmy doyle,3306,m,41.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
la valle,772,m,28.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
mulderig,604,m,50.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
pierre nicoli,172,m,43.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
sal boca,666,m,35.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
simonson,686,m,41.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
weinstock,364,m,65.0,the french connection,1971,m,True,False,True,False,2,0,1,0,Acting
jacques bruno,246,m,53.0,frozen river,2008,f,False,True,False,False,0,1,0,0,Acting
lila littlewolf,3164,f,26.0,frozen river,2008,f,False,True,False,False,0,1,0,0,Acting
ray eddy,6352,f,48.0,frozen river,2008,f,False,True,False,False,0,1,0,0,Acting
t.j.,2024,m,18.0,frozen river,2008,f,False,True,False,False,0,1,0,0,Acting
biggs,478,m,30.0,the fugitive,1993,m,True,False,True,False,1,0,1,0,Acting
bones roosevelt,106,m,56.0,the fugitive,1993,m,True,False,True,False,1,0,1,0,Acting
